Year,date,Time of Tweet,sentiment,Platform,word,word_stem
2010,2010-11-12,noon,neutral,Instagram,rice,rice
2010,2010-11-12,noon,neutral,Instagram,crusty,crusti
2010,2010-11-12,noon,neutral,Instagram,bread,bread
2010,2010-11-12,noon,neutral,Instagram,chili,chili
2010,2010-11-12,noon,neutral,Instagram,aawww,aawww
2011,2011-06-20,noon,positive,Instagram,xatl,xatl
2011,2011-06-20,noon,positive,Instagram,mean,mean
2011,2011-06-20,noon,positive,Instagram,jack,jack
2011,2011-06-20,noon,positive,Instagram,barakats,barakat
2011,2011-06-20,noon,positive,Instagram,wow,wow
2011,2011-06-20,noon,positive,Instagram,ever,ever
2011,2011-06-20,noon,positive,Instagram,gone,gone
2011,2011-06-20,noon,positive,Instagram,house,hous
2011,2011-06-20,noon,positive,Instagram,hehe,hehe
2011,2011-06-20,noon,positive,Instagram,mean,mean
2011,2011-06-20,noon,positive,Instagram,ssoo,ssoo
2011,2011-06-20,noon,positive,Instagram,lucky,lucki
2011,2011-06-20,noon,positive,Instagram,address,address
2012,2012-02-18,night,positive,Facebook,really,realli
2012,2012-02-18,night,positive,Facebook,great,great
2012,2012-02-18,night,positive,Facebook,football,footbal
2012,2012-02-18,night,positive,Facebook,match,match
2012,2012-02-18,night,positive,Facebook,love,love
2012,2012-02-18,night,positive,Facebook,youtube,youtub
2012,2012-02-18,night,positive,Facebook,tutorial,tutori
2012,2012-03-10,morning,positive,Facebook,version,version
2012,2012-03-10,morning,positive,Facebook,live,live
2012,2012-03-10,morning,positive,Facebook,interactive,interact
2012,2012-03-10,morning,positive,Facebook,transsiberian,transsiberian
2012,2012-03-10,morning,positive,Facebook,ticket,ticket
2012,2012-03-10,morning,positive,Facebook,planner,planner
2012,2012-03-10,morning,positive,Facebook,launched,launch
2013,2013-04-05,morning,positive,Facebook,school,school
2013,2013-04-05,morning,positive,Facebook,done,done
2013,2013-04-05,morning,positive,Facebook,already,alreadi
2013,2013-04-05,morning,positive,Facebook,hurts,hurt
2013,2013-04-05,morning,positive,Facebook,much,much
2013,2013-04-05,morning,positive,Facebook,seeing,see
2013,2013-04-05,morning,positive,Facebook,every,everi
2013,2013-04-05,morning,positive,Facebook,day,dai
2013,2013-04-20,morning,negative,Facebook,days,dai
2013,2013-04-20,morning,negative,Facebook,without,without
2013,2013-04-20,morning,negative,Facebook,sleep,sleep
2013,2013-04-20,morning,negative,Facebook,now,now
2013,2013-04-20,morning,negative,Facebook,migraine,migrain
2013,2013-04-20,morning,negative,Facebook,thought,thought
2013,2013-04-20,morning,negative,Facebook,life,life
