Year,Month,Day,date,Time of Tweet,text,sentiment,Platform,word_count,flag_short,text_raw
2010,11,12,2010-11-12,noon,so no rice or crusty bread with the chili aawww,neutral,Instagram,11,FALSE,so no rice or crusty bread with the chili .. aawww
2011,6,20,2011-06-20,noon,xatl you mean jack barakats wow so have you ever gone to his house hehe i mean your ssoo lucky to have the address,positive,Instagram,24,FALSE,_x_atl you mean jack barakat`s?! wow so have you ever gone to his house? hehe i mean your ssoo lucky to have the address!
2012,2,18,2012-02-18,night,really great football match,positive,Facebook,4,FALSE,really great football match
2012,2,18,2012-02-18,night,i love this youtube tutorial,positive,Facebook,5,FALSE,i love this youtube tutorial
2012,3,10,2012-03-10,morning,version of our live interactive transsiberian ticket planner is launched,positive,Facebook,11,FALSE,"version 2 of our live, interactive trans-siberian ticket planner is launched"
2013,4,5,2013-04-05,morning,cant school just be done already it hurts too much seeing him every day,positive,Facebook,14,FALSE,can`t school just be done already? it hurts too much.. seeing him every day
2013,4,20,2013-04-20,morning,days without sleep and now a migraine i thought life postr was meant to be relaxing,negative,Facebook,17,FALSE,2 days without sleep and now a migraine. i thought life postr01 was meant to be relaxing
2014,6,3,2014-06-03,noon,id rather do the early runbut i am a morning runner,neutral,Twitter,11,FALSE,i`d rather do the early run..but i am a morning runner
2014,7,20,2014-07-20,morning,bathing with two little angels keyla and janice,neutral,Twitter,8,FALSE,"bathing with two little angels, keyla and janice."
2014,7,10,2014-07-10,morning,it means that you are now famous congrats,positive,Twitter,8,FALSE,it means that you are now famous. congrats!
2015,6,28,2015-06-28,morning,i love mine too happy mothercafcbfcbds day to your mom john taylor much love to you too,positive,Instagram,21,FALSE,"i love mine, too . happy motherï¿½s day to your mom , john taylor . much love to you, too ."
2015,7,12,2015-07-12,night,is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive,Twitter,18,FALSE,is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with
2015,8,22,2015-08-22,morning,in arch drawing checking out mvccs cad degree looks good to me,positive,Instagram,12,FALSE,in arch. drawing. checking out mvcc`s cad degree. looks good to me
2015,9,12,2015-09-12,night,i sure do hope it becomes this afternoon,positive,Facebook,10,FALSE,i sure do hope it becomes 4:20 this afternoon ..
2015,9,1,2015-09-01,night,si no bueno i guess i just dont entertain him,negative,Facebook,10,FALSE,"si, no bueno i guess i just don`t entertain him"
2015,9,1,2015-09-01,morning,im so hunrgy right now and these heels kill me i can hardly walk in them,negative,Instagram,16,FALSE,i`m so hunrgy right now and these heels kill me i can hardly walk in them
2015,9,28,2015-09-28,morning,no waterfront anymore faccia luna and clarendon will have to do,negative,Instagram,11,FALSE,no waterfront anymore faccia luna and clarendon will have to do
2015,10,18,2015-10-18,night,according to a quarter of families under six live in poverty,negative,Twitter,12,FALSE,"according to , a quarter of families under six live in poverty."
2015,11,10,2015-11-10,noon,getting ready for week its too nice today to be stuck inside working,positive,Instagram,13,FALSE,getting ready for week its too nice today to be stuck inside working!
2015,11,10,2015-11-10,night,url we bought ludi her own rug dogs are the best,positive,Facebook,12,FALSE,URL - we bought ludi her own rug. dogs are the best
